name,safe_name,price,link,image,file,original_file,processed_file,processed_size
Eti Karam Gurme Bitter Çikolatalı Gofret 50 g,Eti Karam Gurme Bitter Çikolatalı Gofret 50 g,29.95,https://www.migros.com.tr/eti-karam-gurme-bitter-cikolatali-gofret-50-g-p-6d43f1,https://images.migrosone.com/sanalmarket/product/7160817/7160817-b58034.jpg,snack_Eti Karam Gurme Bitter Çikolatalı Gofret 50 g.jpg,snack_Eti Karam Gurme Bitter Çikolatalı Gofret 50 g.jpg,processed\snack_Eti Karam Gurme Bitter Çikolatalı Gofret 50 g.jpg,330x330
Eti Karam %70 Kakaolu Bitter Çikolata 60 G,Eti Karam %70 Kakaolu Bitter Çikolata 60 G,66.95,https://www.migros.com.tr/eti-karam-70-kakaolu-bitter-cikolata-60-g-p-6b5dd4,https://images.migrosone.com/sanalmarket/product/07036372/07036372-b80d70.jpg,snack_Eti Karam %70 Kakaolu Bitter Çikolata 60 G.jpg,snack_Eti Karam %70 Kakaolu Bitter Çikolata 60 G.jpg,processed\snack_Eti Karam %70 Kakaolu Bitter Çikolata 60 G.jpg,330x330
Eti Tutku Tart 45 G,Eti Tutku Tart 45 G,20.00,https://www.migros.com.tr/eti-tutku-tart-45-g-p-6b0026,https://images.migrosone.com/sanalmarket/product/07012390/07012390_1-aa0216.jpg,snack_Eti Tutku Tart 45 G.jpg,snack_Eti Tutku Tart 45 G.jpg,processed\snack_Eti Tutku Tart 45 G.jpg,330x330
Biscolata Stix Sütlü 40 G,Biscolata Stix Sütlü 40 G,30.00,https://www.migros.com.tr/biscolata-stix-sutlu-40-g-p-6afb60,https://images.migrosone.com/sanalmarket/product/07011168/7011168-1c510f.jpg,snack_Biscolata Stix Sütlü 40 G.jpg,snack_Biscolata Stix Sütlü 40 G.jpg,processed\snack_Biscolata Stix Sütlü 40 G.jpg,330x330
Eti Crax Çubuk Kraker 40 G,Eti Crax Çubuk Kraker 40 G,7.50,https://www.migros.com.tr/eti-crax-cubuk-kraker-40-g-p-6af799,https://images.migrosone.com/sanalmarket/product/07010201/07010201-e024e5.jpg,snack_Eti Crax Çubuk Kraker 40 G.jpg,snack_Eti Crax Çubuk Kraker 40 G.jpg,processed\snack_Eti Crax Çubuk Kraker 40 G.jpg,330x330
Eti Browni Gold Çikolatalı Kek 45 G,Eti Browni Gold Çikolatalı Kek 45 G,14.95,https://www.migros.com.tr/eti-browni-gold-cikolatali-kek-45-g-p-4de182,https://images.migrosone.com/sanalmarket/product/05104002/5104002_1-1cbfbd.jpg,snack_Eti Browni Gold Çikolatalı Kek 45 G.jpg,snack_Eti Browni Gold Çikolatalı Kek 45 G.jpg,processed\snack_Eti Browni Gold Çikolatalı Kek 45 G.jpg,330x330
Eti Tutku Kakao Kremalı Mozaik Bisküvi 100 G,Eti Tutku Kakao Kremalı Mozaik Bisküvi 100 G,25.00,https://www.migros.com.tr/eti-tutku-kakao-kremali-mozaik-biskuvi-100-g-p-6afaa3,https://images.migrosone.com/sanalmarket/product/7010979/7010979-37b062.jpg,snack_Eti Tutku Kakao Kremalı Mozaik Bisküvi 100 G.jpg,snack_Eti Tutku Kakao Kremalı Mozaik Bisküvi 100 G.jpg,processed\snack_Eti Tutku Kakao Kremalı Mozaik Bisküvi 100 G.jpg,330x330
Migros İç Ceviz 150 G,Migros İç Ceviz 150 G,109.00,https://www.migros.com.tr/migros-ic-ceviz-150-g-p-7b49d3,https://images.migrosone.com/sanalmarket/product/08079827/08079827-a4c8ee.jpg,snack_Migros İç Ceviz 150 G.jpg,snack_Migros İç Ceviz 150 G.jpg,processed\snack_Migros İç Ceviz 150 G.jpg,330x330
Biscolata Mood Bardak 125 G,Biscolata Mood Bardak 125 G,56.00,https://www.migros.com.tr/biscolata-mood-bardak-125-g-p-6b1cae,https://images.migrosone.com/sanalmarket/product/07019694/7019694-6470ba.jpg,snack_Biscolata Mood Bardak 125 G.jpg,snack_Biscolata Mood Bardak 125 G.jpg,processed\snack_Biscolata Mood Bardak 125 G.jpg,330x330
Ülker Tuzlu Çubuk Kraker 40 G,Ülker Tuzlu Çubuk Kraker 40 G,7.50,https://www.migros.com.tr/ulker-tuzlu-cubuk-kraker-40-g-p-6af7a1,https://images.migrosone.com/sanalmarket/product/07010209/07010209-1747ff.jpg,snack_Ülker Tuzlu Çubuk Kraker 40 G.jpg,snack_Ülker Tuzlu Çubuk Kraker 40 G.jpg,processed\snack_Ülker Tuzlu Çubuk Kraker 40 G.jpg,330x330
