name,safe_name,price,link,image,file,original_file,processed_file,processed_size
Eti Browni Intense Gold Beyaz Çikolata Krema Dolgulu Kek 48 G,Eti Browni Intense Gold Beyaz Çikolata Krema Dolgulu Kek 48 G,24.95,https://www.migros.com.tr/eti-browni-intense-gold-beyaz-cikolata-krema-dolgulu-kek-48-g-p-4deb85,https://images.migrosone.com/sanalmarket/product/05106565/05106565-f52b29.jpg,choco_Eti Browni Intense Gold Beyaz Çikolata Krema Dolgulu Kek 48 G.jpg,choco_Eti Browni Intense Gold Beyaz Çikolata Krema Dolgulu Kek 48 G.jpg,processed\choco_Eti Browni Intense Gold Beyaz Çikolata Krema Dolgulu Kek 48 G.jpg,330x330
Eti Browni Intense Çikolatalı Kek 50 G,Eti Browni Intense Çikolatalı Kek 50 G,24.95,https://www.migros.com.tr/eti-browni-intense-cikolatali-kek-50-g-p-4dcae1,https://images.migrosone.com/sanalmarket/product/05098209/eti-browni-intense-50-gr-bb8473.jpg,choco_Eti Browni Intense Çikolatalı Kek 50 G.jpg,choco_Eti Browni Intense Çikolatalı Kek 50 G.jpg,processed\choco_Eti Browni Intense Çikolatalı Kek 50 G.jpg,330x330
Sarelle Gold Gofret 33 G,Sarelle Gold Gofret 33 G,25.00,https://www.migros.com.tr/sarelle-gold-gofret-33-g-p-6d40c4,https://images.migrosone.com/sanalmarket/product/07160004/7160004-a00dee.jpg,choco_Sarelle Gold Gofret 33 G.jpg,choco_Sarelle Gold Gofret 33 G.jpg,processed\choco_Sarelle Gold Gofret 33 G.jpg,330x330
Sarelle Orman Meyveli Gofret 33 G,Sarelle Orman Meyveli Gofret 33 G,25.00,https://www.migros.com.tr/sarelle-orman-meyveli-gofret-33-g-p-6b49b6,https://images.migrosone.com/sanalmarket/product/07031222/07031222_1-c3505a.jpg,choco_Sarelle Orman Meyveli Gofret 33 G.jpg,choco_Sarelle Orman Meyveli Gofret 33 G.jpg,processed\choco_Sarelle Orman Meyveli Gofret 33 G.jpg,330x330
Eti Gong Sütlü Kakao Kaplamalı 30 G,Eti Gong Sütlü Kakao Kaplamalı 30 G,25.00,https://www.migros.com.tr/eti-gong-sutlu-kakao-kaplamali-30-g-p-6b4aeb,https://images.migrosone.com/sanalmarket/product/07031531/7031531_1-861c86.jpg,choco_Eti Gong Sütlü Kakao Kaplamalı 30 G.jpg,choco_Eti Gong Sütlü Kakao Kaplamalı 30 G.jpg,processed\choco_Eti Gong Sütlü Kakao Kaplamalı 30 G.jpg,330x330
Eti Gong Çilekli Yoğurtlu Kaplamalı 30 G,Eti Gong Çilekli Yoğurtlu Kaplamalı 30 G,25.00,https://www.migros.com.tr/eti-gong-cilekli-yogurtlu-kaplamali-30-g-p-6b4aea,https://images.migrosone.com/sanalmarket/product/07031530/7031530_1-62220b.jpg,choco_Eti Gong Çilekli Yoğurtlu Kaplamalı 30 G.jpg,choco_Eti Gong Çilekli Yoğurtlu Kaplamalı 30 G.jpg,processed\choco_Eti Gong Çilekli Yoğurtlu Kaplamalı 30 G.jpg,330x330
Ozmo Fun Meslekler Serisi Figürlü Çikolatalar 23 G,Ozmo Fun Meslekler Serisi Figürlü Çikolatalar 23 G,25.00,https://www.migros.com.tr/ozmo-fun-meslekler-serisi-figurlu-cikolatalar-23-g-p-6b53a7,https://images.migrosone.com/sanalmarket/product/07033767/7033767_1-1b5f89.jpeg,choco_Ozmo Fun Meslekler Serisi Figürlü Çikolatalar 23 G.jpg,choco_Ozmo Fun Meslekler Serisi Figürlü Çikolatalar 23 G.jpg,processed\choco_Ozmo Fun Meslekler Serisi Figürlü Çikolatalar 23 G.jpg,330x330
Sarelle Hindistan Cevizli Gofret 33 G,Sarelle Hindistan Cevizli Gofret 33 G,25.00,https://www.migros.com.tr/sarelle-hindistan-cevizli-gofret-33-g-p-6b5d0c,https://images.migrosone.com/sanalmarket/product/07036172/07036172-f4f7c2.jpg,choco_Sarelle Hindistan Cevizli Gofret 33 G.jpg,choco_Sarelle Hindistan Cevizli Gofret 33 G.jpg,processed\choco_Sarelle Hindistan Cevizli Gofret 33 G.jpg,330x330
Ozmo Fun Figürlü Çikolata 23 G,Ozmo Fun Figürlü Çikolata 23 G,25.00,https://www.migros.com.tr/ozmo-fun-figurlu-cikolata-23-g-p-6b609a,https://images.migrosone.com/sanalmarket/product/07037082/7037082_1-fa3d07.jpeg,choco_Ozmo Fun Figürlü Çikolata 23 G.jpg,choco_Ozmo Fun Figürlü Çikolata 23 G.jpg,processed\choco_Ozmo Fun Figürlü Çikolata 23 G.jpg,330x330
Ülker Dankek Mousse İpeksi Çikolata Kremalı Baton Kek 45 G,Ülker Dankek Mousse İpeksi Çikolata Kremalı Baton Kek 45 G,25.50,https://www.migros.com.tr/ulker-dankek-mousse-ipeksi-cikolata-kremali-baton-kek-45-g-p-6af7d1,https://images.migrosone.com/sanalmarket/product/07010257/07010257-805270.jpg,choco_Ülker Dankek Mousse İpeksi Çikolata Kremalı Baton Kek 45 G.jpg,choco_Ülker Dankek Mousse İpeksi Çikolata Kremalı Baton Kek 45 G.jpg,processed\choco_Ülker Dankek Mousse İpeksi Çikolata Kremalı Baton Kek 45 G.jpg,330x330
Boombastic Marshmallow Çikolatalı Kek Bar 40 G,Boombastic Marshmallow Çikolatalı Kek Bar 40 G,25.90,https://www.migros.com.tr/boombastic-marshmallow-cikolatali-kek-bar-40-g-p-6b5975,https://images.migrosone.com/sanalmarket/product/07035253/07035253-16b49a.jpg,choco_Boombastic Marshmallow Çikolatalı Kek Bar 40 G.jpg,choco_Boombastic Marshmallow Çikolatalı Kek Bar 40 G.jpg,processed\choco_Boombastic Marshmallow Çikolatalı Kek Bar 40 G.jpg,330x330
Nestle 1927 Sütlü Çikolatalı Gofret 28 G,Nestle 1927 Sütlü Çikolatalı Gofret 28 G,25.95,https://www.migros.com.tr/nestle-1927-sutlu-cikolatali-gofret-28-g-p-6b56de,https://images.migrosone.com/sanalmarket/product/7034590/7034590-dbebe8.jpg,choco_Nestle 1927 Sütlü Çikolatalı Gofret 28 G.jpg,choco_Nestle 1927 Sütlü Çikolatalı Gofret 28 G.jpg,processed\choco_Nestle 1927 Sütlü Çikolatalı Gofret 28 G.jpg,330x330
