name,safe_name,price,link,image,file
Eti Tutku Kakao Kremalı Mozaik Bisküvi 100 G,Eti Tutku Kakao Kremalı Mozaik Bisküvi 100 G,25.00,https://www.migros.com.tr/eti-tutku-kakao-kremali-mozaik-biskuvi-100-g-p-6afaa3,https://images.migrosone.com/sanalmarket/product/7010979/7010979-37b062.jpg,migros_dataset\Eti Tutku Kakao Kremalı Mozaik Bisküvi 100 G.jpg
Migros İç Ceviz 150 G,Migros İç Ceviz 150 G,109.00,https://www.migros.com.tr/migros-ic-ceviz-150-g-p-7b49d3,https://images.migrosone.com/sanalmarket/product/08079827/08079827-a4c8ee.jpg,migros_dataset\Migros İç Ceviz 150 G.jpg
Biscolata Mood Bardak 125 G,Biscolata Mood Bardak 125 G,56.00,https://www.migros.com.tr/biscolata-mood-bardak-125-g-p-6b1cae,https://images.migrosone.com/sanalmarket/product/07019694/7019694-6470ba.jpg,migros_dataset\Biscolata Mood Bardak 125 G.jpg
Ülker Tuzlu Çubuk Kraker 40 G,Ülker Tuzlu Çubuk Kraker 40 G,7.50,https://www.migros.com.tr/ulker-tuzlu-cubuk-kraker-40-g-p-6af7a1,https://images.migrosone.com/sanalmarket/product/07010209/07010209-1747ff.jpg,migros_dataset\Ülker Tuzlu Çubuk Kraker 40 G.jpg
First Sensations Yeşil Nane Aromalı 27 G,First Sensations Yeşil Nane Aromalı 27 G,59.95,https://www.migros.com.tr/first-sensations-yesil-nane-aromali-27-g-p-6ca5a3,https://images.migrosone.com/sanalmarket/product/07120291/07120291-c95372.jpg,migros_dataset\First Sensations Yeşil Nane Aromalı 27 G.jpg
Tadım Kavrulmuş Siyah Ayçekirdeği 180 G,Tadım Kavrulmuş Siyah Ayçekirdeği 180 G,56.00,https://www.migros.com.tr/tadim-kavrulmus-siyah-aycekirdegi-180-g-p-7b70db,https://images.migrosone.com/sanalmarket/product/08089819/8089819-5f54d6.jpg,migros_dataset\Tadım Kavrulmuş Siyah Ayçekirdeği 180 G.jpg
Eti Karam Gurme Bitter Çikolata Kremalı Gofret 3'lü 150 G,Eti Karam Gurme Bitter Çikolata Kremalı Gofret 3'lü 150 G,89.50,https://www.migros.com.tr/eti-karam-gurme-bitter-cikolata-kremali-gofret-3lu-150-g-p-6d5053,https://images.migrosone.com/sanalmarket/product/07163987/07163987-235c4a.jpg,migros_dataset\Eti Karam Gurme Bitter Çikolata Kremalı Gofret 3'lü 150 G.jpg
Eti Browni Gold Vişneli Çikolatalı Kek 45 G,Eti Browni Gold Vişneli Çikolatalı Kek 45 G,14.95,https://www.migros.com.tr/eti-browni-gold-visneli-cikolatali-kek-45-g-p-4de181,https://images.migrosone.com/sanalmarket/product/05104001/5104001-9c71b6.jpg,migros_dataset\Eti Browni Gold Vişneli Çikolatalı Kek 45 G.jpg
Eti Browni Intense Mini Çikolatalı Kek 160 G,Eti Browni Intense Mini Çikolatalı Kek 160 G,84.95,https://www.migros.com.tr/eti-browni-intense-mini-cikolatali-kek-160-g-p-4dcb15,https://images.migrosone.com/sanalmarket/product/05098261/05098261_1-f25afe.jpg,migros_dataset\Eti Browni Intense Mini Çikolatalı Kek 160 G.jpg
Kahve Dünyası Tambol Fındıklı Sütlü Çikolata 77 G,Kahve Dünyası Tambol Fındıklı Sütlü Çikolata 77 G,84.95,https://www.migros.com.tr/kahve-dunyasi-tambol-findikli-sutlu-cikolata-77-g-p-6b9426,https://images.migrosone.com/sanalmarket/product/07050278/7050278_1-b27f20.jpg,migros_dataset\Kahve Dünyası Tambol Fındıklı Sütlü Çikolata 77 G.jpg
Eti Burçak Tam Buğday Unlu Bisküvi 3 x 131 G,Eti Burçak Tam Buğday Unlu Bisküvi 3 x 131 G,72.95,https://www.migros.com.tr/eti-burcak-tam-bugday-unlu-biskuvi-3-x-131-g-p-6af755,https://images.migrosone.com/sanalmarket/product/07010133/07010133-2cad2d.jpg,migros_dataset\Eti Burçak Tam Buğday Unlu Bisküvi 3 x 131 G.jpg
Tadım Bol Tuzlu Kavrulmuş Siyah Ayçekirdek 180 G,Tadım Bol Tuzlu Kavrulmuş Siyah Ayçekirdek 180 G,56.00,https://www.migros.com.tr/tadim-bol-tuzlu-kavrulmus-siyah-aycekirdek-180-g-p-7b716a,https://images.migrosone.com/sanalmarket/product/08089962/8089962-d53d61.jpg,migros_dataset\Tadım Bol Tuzlu Kavrulmuş Siyah Ayçekirdek 180 G.jpg
